TIME_TOLERANCE,HIDDEN,MAX_DISTANCE,LEARNING_RATE,ITERATIONS,TARGET_VALUE,TIME_FOR_ALL_SENSORS,EWX MEAN,EWX STD,GRK MEAN,GRK STD
600000,0,1.0,0.05,1,0.0,40756,1.2001951326797609,0.339610870288697,1.2663398388427394,0.3292627127337811
600000,0,1.0,0.05,1,0.5,37689,0.0015073855247014969,0.1993157456474388,3.3346143494458833E-4,0.1762283698652885
600000,0,1.0,0.05,1,1.0,36098,-1.2017575634590814,0.3415276235429744,-1.2688022342374983,0.33163083607945015
600000,0,1.0,0.05,2,0.0,54115,0.8204215815848755,0.22304978391522134,0.8711281247196933,0.2201956290955012
600000,0,1.0,0.05,2,0.5,54851,-3.7129144987770604E-4,0.09066880979311352,-2.981886476135693E-4,0.07717840414243748
600000,0,1.0,0.05,2,1.0,51232,-0.820177233053498,0.22266354842055183,-0.8711803519615728,0.22009639820378368
600000,0,1.0,0.05,4,0.0,88050,0.5707133015039778,0.1539444436418017,0.6071264210608417,0.15276843082385003
600000,0,1.0,0.05,4,0.5,89750,5.5151537873599265E-5,0.04408629760128092,-2.16627849178623E-4,0.03765205226578163
600000,0,1.0,0.05,4,1.0,88495,-0.5707143062264393,0.15393695540237087,-0.6070559833691894,0.15275216781755283
600000,0,1.0,0.05,8,0.0,158328,0.3990497196243098,0.10743020179401548,0.4247516809031248,0.10672160766683436
600000,0,1.0,0.05,8,0.5,158210,9.069805260803055E-5,0.022149773133752285,4.4200641837853337E-5,0.018066463688391498
600000,0,1.0,0.05,8,1.0,161233,-0.39901228958587787,0.10741066961256907,-0.42476940002138003,0.10672824406839558
600000,0,1.0,0.05,16,0.0,302533,0.2797214047373426,0.0752338013908768,0.29781375073658145,0.07478384186525962
600000,0,1.0,0.05,16,0.5,295235,-1.384478630862475E-5,0.009111019085870847,4.878971189954554E-6,0.006806477040233719
600000,0,1.0,0.05,16,1.0,304390,-0.27970075371451525,0.07523041759770538,-0.29781423488978154,0.07478244167980998
600000,0,1.0,0.05,32,0.0,588128,0.19641706777372828,0.05280794380348861,0.2091989550042523,0.052511555350384646
600000,0,1.0,0.05,32,0.5,589037,-2.2326836860980717E-6,0.0025310069222836853,-2.064290169970971E-6,0.0017661008355062408
600000,0,1.0,0.05,32,1.0,577042,-0.19640475453101366,0.05280680818287916,-0.20920336572920284,0.052514231861530765
600000,0,1.0,0.05,64,0.0,1175014,0.13814477993724336,0.03713272747705272,0.14715133659194699,0.036932875191809225
600000,0,1.0,0.05,64,0.5,1151871,1.0824789817467914E-6,4.6626997961174345E-4,4.696199329449168E-7,2.9696485298643413E-4
600000,0,1.0,0.05,64,1.0,1159359,-0.1381393022374502,0.03713293038234069,-0.1471598156638442,0.036933620859449984
600000,0,1.0,0.25,1,0.0,33694,1.2010335796707825,0.3408419976592244,1.2672973062999389,0.3301861786391672
600000,0,1.0,0.25,1,0.5,34998,0.003045430667969066,0.1965184812348037,1.9059744624703737E-4,0.17901151783137587
600000,0,1.0,0.25,1,1.0,35604,-1.201645260095138,0.3414420199648647,-1.2677237006654012,0.33134174428620244
600000,0,1.0,0.25,2,0.0,54603,0.8203108023923367,0.22291036606992695,0.8713517677937773,0.22035217621959458
600000,0,1.0,0.25,2,0.5,53584,-5.200676027068798E-6,0.09022415154589768,-3.592999569932413E-5,0.07818220884995063
600000,0,1.0,0.25,2,1.0,54704,-0.8202603466997064,0.22264362308476765,-0.8711506462178281,0.22041615100693035
600000,0,1.0,0.25,4,0.0,90773,0.5706219765185353,0.15401505596528928,0.6070598500937325,0.1527619094931206
